,path,category
0,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_4,arrest
1,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_98,attack
2,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_12,blast
3,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_3,deliberate damage
4,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_22,firing
5,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_47,road accident
6,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_250,theft
7,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_23,arrest
8,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_11,attack
9,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_8,blast
10,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_14,deliberate damage
11,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_10,firing
12,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_98,road accident
13,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_129,theft
14,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_13,arrest
15,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_4,attack
16,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_10,blast
17,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_29,deliberate damage
18,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_2,firing
19,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_56,road accident
20,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_207,theft
21,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_26,arrest
22,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_17,attack
23,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_5,blast
24,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_13,deliberate damage
25,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_9,firing
26,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_71,road accident
27,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_199,theft
28,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_9,arrest
29,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_74,attack
30,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_12,blast
31,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_20,deliberate damage
32,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_9,firing
33,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_50,road accident
34,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_127,theft
35,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_30,arrest
36,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_30,attack
37,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_9,blast
38,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_55,deliberate damage
39,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_7,firing
40,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_55,road accident
