,path,category
0,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_1,arrest
1,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_10,arrest
2,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_11,arrest
3,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_12,arrest
4,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_13,arrest
5,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_14,arrest
6,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_15,arrest
7,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_16,arrest
8,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_17,arrest
9,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_18,arrest
10,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_19,arrest
11,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_2,arrest
12,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_20,arrest
13,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_21,arrest
14,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_22,arrest
15,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_23,arrest
16,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_24,arrest
17,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_25,arrest
18,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_26,arrest
19,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_27,arrest
20,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_28,arrest
21,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_29,arrest
22,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_3,arrest
23,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_30,arrest
24,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_31,arrest
25,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_32,arrest
26,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_33,arrest
27,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_4,arrest
28,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_5,arrest
29,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_6,arrest
30,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_7,arrest
31,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_8,arrest
32,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_9,arrest
33,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_1,attack
34,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_10,attack
35,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_100,attack
36,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_11,attack
37,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_12,attack
38,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_13,attack
39,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_14,attack
40,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_15,attack
41,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_16,attack
42,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_17,attack
43,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_18,attack
44,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_19,attack
45,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_2,attack
46,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_20,attack
47,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_21,attack
48,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_22,attack
49,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_23,attack
50,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_24,attack
51,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_25,attack
52,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_26,attack
53,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_27,attack
54,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_28,attack
55,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_29,attack
56,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_3,attack
57,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_30,attack
58,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_31,attack
59,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_32,attack
60,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_33,attack
61,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_34,attack
62,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_35,attack
63,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_36,attack
64,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_37,attack
65,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_38,attack
66,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_39,attack
67,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_4,attack
68,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_40,attack
69,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_41,attack
